amfi_code,Max_Drawdown
120507,-0.09773140045925555
120844,-0.11629327956168556
101208,-0.16224980244717857
100025,-4.308263824636349
119120,-4.328728923970093
118636,-8.316361763638703
102885,-10.85986215250232
148567,-11.265729075028275
101206,-11.291596329323072
118635,-11.650624505409091
119552,-11.803493502764296
120504,-12.588275606922517
120843,-12.97396816518679
120503,-13.897862823061635
119092,-14.401617909337261
149322,-14.844576917771747
119551,-15.012385498645331
125497,-15.200013055606398
148568,-15.27259422823477
100033,-16.217208574644847
148569,-16.39674294693263
149323,-17.24810575345138
118632,-17.41407508665723
120841,-17.57361416468729
120505,-18.188513572116292
118633,-18.62974313859551
120506,-19.82565826298267
119094,-20.960883862039193
125498,-21.11727956013212
102887,-21.539827112383225
119093,-21.751396370148225
118634,-23.34488614483311
120842,-24.003511326274886
100016,-24.734440880673304
102886,-28.00112356639287
119598,-28.706005721764548
149324,-31.171900300634213
101207,-35.44691649336603
119095,-51.677753708526566
119599,-52.57422117012851
